EQ,PE,RE,IG CB,HY CB,GB,MONEY
1101468.2206008343,1102704.633460652,1020777.1961219155,1054994.5898985367,1060317.9006846487,1026759.2841717897,996448.3166593282
1087430.1322141557,1096923.257300148,1025414.934453359,1052961.9963250365,1056488.7327662841,1025296.4243298132,996448.2336211347
1091117.2918684073,1103354.879951022,1025499.9318676448,1052076.9156046014,1055580.5029785095,1024632.249603346,996448.1229035548
1070867.1850398602,1088295.3428220032,1027035.6499682562,1054283.0677700073,1051846.579798504,1027957.0701292577,996447.4585848764
1078715.1495147073,1098872.1382016263,1033672.0016818095,1057985.3570806459,1054602.4626565918,1030075.0218406507,996447.3201880079
1076799.1446518844,1091618.2835968826,1041377.5506924221,1060176.0607723773,1054779.059037362,1034143.8366029563,996447.3478673844
1086821.529346023,1100897.816103673,1044984.8092512973,1061048.4941840647,1056822.695769233,1036810.0311952045,996447.1817911429
1084142.8968604722,1100013.17981653,1037063.6031864817,1059702.0355149666,1057711.6806691992,1037535.4934830383,996447.2094705158
1070862.2710247168,1085617.4135324585,1035470.130849792,1058273.3903225276,1057636.9394221366,1038359.0622284898,996446.8773113156
1079063.6182584763,1089257.4257856575,1040917.0313920699,1057620.2266630402,1058681.2175929477,1037101.9126027528,996446.6835557967
1075305.79124942,1096551.000870032,1034246.91650569,1056400.6987339226,1059535.7127789382,1037521.4587700934,996446.5451590213
1067820.6371029946,1085035.7903074797,1028220.0677696674,1057608.0766557616,1056298.4238816511,1035862.689513767,996446.4344416187
1063721.2152475019,1077731.2852280238,1026155.6769925555,1054313.3349440855,1057509.0060761792,1038150.0919105009,996446.4344416199
1064310.3747904373,1080234.276285,1027657.023859807,1053859.8675766217,1057552.278567914,1037580.1741704678,996446.2683621349
1066828.809043172,1085168.9122393003,1029066.2647289686,1050986.827637698,1060684.2067212653,1047077.0918112458,996446.0746067393
1055355.405472699,1077775.3050755197,1016111.7684232431,1055340.2194104048,1057643.1830216034,1050352.0660134938,996445.7147754222
1067013.9901875856,1083238.6596697492,1013548.2362454627,1055137.977678497,1057987.0516990742,1043729.5970695027,996445.1888683598
1045970.4981793701,1054830.5287111155,1021106.859669535,1061132.0463456996,1054430.8676263292,1045111.442112412,996445.1611890522
1036709.1613121666,1053217.6353060978,1010593.892446656,1064733.8043269573,1052514.0397202673,1044308.8238235258,996444.4138330093
1049030.6874338698,1068633.846117907,1007042.9837662944,1062286.2729329504,1054883.4555393283,1048175.4457337935,996444.2754365676
1056987.6987298029,1073263.4210218054,1017971.5808307475,1067089.520334234,1056934.9046883883,1058197.241501365,996444.0263230281
