Realized_Delta_BOF,SCR_Values
102864.4202450352,-138248.6119809886
100916.64968503523,-145266.20098645036
104958.97074172995,-139500.28317552328
106194.42446288862,-135786.4773136312
105704.87124036124,-135412.80290532068
108361.09604052431,-137294.3532987175
109166.17817279941,-142247.57656210742
104575.84612526721,-131107.58045538777
102476.4826920348,-136203.5196461944
99646.72031988786,-141986.87772570184
104899.65427373955,-135243.07166991464
102047.4516551249,-140152.55290048165
103694.39586545026,-138113.97600828877
100928.61604766943,-137077.5511714373
101109.90741230058,-143201.0213251722
101618.85243102047,-139862.12448569865
94759.02587275079,-140983.61068009527
96419.48255616624,-139300.53003015893
103374.20889662893,-140725.67291833455
101088.98802224582,-138197.2782020304
103624.58283571468,-139609.1104676285
102265.0018817354,-144556.95668144274
96515.71264529426,-138894.57605603038
93351.85229000857,-141218.56619352024
94186.32306340791,-143570.47943916568
91573.62445534777,-142302.11720723045
97204.82069644437,-137939.49387095415
100649.96110968222,-139237.1665732343
97809.41206167266,-141604.35095300755
102464.60979939229,-137684.9510639093
100469.64997877623,-138583.8552335026
94723.49031962804,-142958.767354003
91252.22023390455,-141008.75200860304
95085.77623649687,-138607.98619744743
93875.00360180018,-138087.66323492155
88945.43669321248,-139514.5539203414
89496.6561155488,-141480.95839593635
79065.20667461294,-139218.9390565134
80267.22144734708,-141789.60714461855
76623.09952391498,-140297.05706778154
76020.4689134442,-141170.7156692249
70677.43956851505,-136165.16910993226
67601.38907782605,-141522.99005480783
66193.45757147693,-139664.91528621226
69625.86607340968,-143540.4656899226
68338.10361317534,-131851.83616414428
67608.76251102483,-135460.88056218182
70628.69017874158,-137497.7752140417
75080.67057830922,-139877.43744173672
84065.7976592494,-134929.93660763334
86081.59911590687,-140764.92945354403
84252.87180152396,-138127.44742664433
87453.55931554188,-145731.20636651354
88129.24806262844,-139628.40010500653
96732.53326617659,-138404.773974004
94189.79092672036,-137420.71945013152
98011.68527582916,-138149.20679472387
95509.20463375223,-137303.12127029698
94465.18924200418,-139316.56484639584
83388.19316130783,-139037.59475460413
77153.98557665164,-137067.17505071542
78383.18427748838,-135855.81857047856
78775.64830566396,-138721.14670457042
78945.96235956566,-136692.53313904296
79543.44132806931,-130602.03351786721
84335.90653137176,-136494.0798416704
80590.882471891,-138294.16468859575
78663.52250505704,-141115.3193868947
73791.92247596313,-141599.16916263636
74089.92933010019,-136597.12777348634
75175.8802350302,-141457.96361607674
75244.94923461578,-136631.643989316
76299.95880664629,-139009.48403443693
73175.66143475473,-141641.64572694525
74853.26443684741,-139777.59984384803
77284.42695963162,-139186.6393979554
74011.43589707231,-133725.79777458674
70155.32643547258,-137335.0741748606
73049.54094050417,-140595.14452943046
75531.6644556839,-138821.410732934
68200.34001552407,-137590.76320397202
68888.74896332226,-136203.39437785675
65745.92743253068,-134787.8405391163
61260.164792341064,-142281.01402555386
65523.16022072954,-141748.44044138418
66067.0444480083,-136774.67507279012
68004.27589465945,-133772.9366577999
73851.02128940576,-137655.43482933196
73162.66872466356,-139661.77822829038
72956.32543224155,-138362.11490546016
68280.88615008595,-134809.42938351628
72922.79278242658,-136125.83877518904
73361.29128768574,-144844.21711443985
71833.20853302779,-141704.37827481868
66722.21374155651,-138324.45009635933
66581.87693869614,-139803.27252324243
65910.84698771173,-136153.1325453101
64002.885857667075,-135712.44595037322
66361.63345741178,-137902.7577104204
61578.68101327261,-140270.65144969494
64286.62068872969,-142427.32754964803
63473.50162173656,-134975.92935047802
60993.42291144084,-137030.38283670388
56156.19222408894,-136580.33696911435
50449.840628862265,-135886.20199108528
50891.967954826774,-132383.11849423737
54308.04787335941,-134752.12599913735
52111.719813705306,-132746.41790704627
49464.50230443105,-145729.7900501946
48142.94472969568,-138839.9528067097
48039.2934479214,-138383.59964212007
42045.61293191789,-134896.1460887584
38279.28652686591,-137642.3413992094
42239.53240204998,-130210.16983707486
39906.029907826916,-142142.55882162173
34900.90855458751,-139136.55633956727
32889.44753158954,-138410.90420867552
35621.68513606477,-137989.98529190486
37057.58573021437,-140213.3664152822
43966.04613193241,-140505.7278655537
41029.60361637932,-140669.02061249106
38178.470776968636,-135013.02750707243
40557.97555428359,-141471.8280912066
26322.668406409677,-134424.26796845
19850.278696999536,-135790.6880321644
16457.792372542666,-135378.00485151284
16075.525972770061,-136295.8564478424
23086.28129194607,-139348.2388510628
15951.358751995838,-138277.24046065874
13679.99488303659,-132893.18887360443
11321.10966259602,-138089.23144934498
14154.058673851774,-136610.13569398064
16085.230661647394,-135370.90136877814
17136.547122452524,-140209.14889221045
17993.231346173678,-136901.16833266953
16379.197492867825,-138579.40601032996
14464.18656308297,-138172.0320651815
11720.921067099902,-138641.6574974953
21262.483567360556,-135289.50210269322
26767.092518529855,-135220.60280573944
20895.17915849539,-144423.0703283742
27308.721091206884,-140656.31623701425
31549.545623737387,-139972.69272200833
30084.579226095462,-139548.9086255652
29387.023857625667,-133256.316172702
19589.695528062643,-138836.06293852444
9621.16100489546,-140803.9729352784
10705.693024776643,-144887.75916802546
2440.3604718637653,-138029.91696296583
4968.730582449352,-139383.5369789683
-2692.9264741161605,-138103.2551596014
-1445.8319116944913,-139879.56493491787
7648.012858015136,-142384.3825882668
14597.525577205466,-139519.03381661966
18259.14526409749,-136178.99164194523
12172.228741179686,-138082.3132639946
11839.381228310987,-137389.10471510031
9566.123250709381,-140586.3324689885
8359.023069699062,-136938.77001808555
6276.810525484616,-138850.82730575715
9052.49127094145,-132589.91508839978
11171.035403868183,-136872.86873944578
8843.630059274845,-140113.62411083744
4127.58556444163,-135988.22073816994
