realized_delta_bof_values_1,scr_values
-150389.47839191894,-156672.19287361292
-148975.21151158668,-160571.46210567074
-153741.8177498082,-156155.8819155481
-139035.72328941338,-158957.85541909593
-140740.23967362393,-163715.99173256484
-144090.42501346406,-158037.407457521
-136041.17473416834,-157525.77145629172
-136210.14522733737,-153894.80465168043
-139502.430009919,-157516.6663498229
-137130.214526781,-153968.2158218598
-137216.83033311705,-159350.43263850943
-134454.3195204382,-155994.39943305988
-133011.49639375415,-156034.6923304698
-131667.77500205254,-155489.7877024751
-132753.19012506225,-153494.7579678994
-131356.3608159218,-149101.58530526192
-131820.44251634122,-155103.52424808094
-129794.75948281388,-158197.2056810946
-120545.34548161458,-157482.8556827233
-122083.10216329456,-156247.2403550199
-124362.96099386842,-156901.93765514868
-122305.91665455524,-153932.1700220646
-124028.29867424548,-155879.91468706704
-124875.07814439829,-160196.70929789115
-130597.72221380286,-157641.56696486453
-134095.1632276266,-155549.7390446026
-130712.79661708964,-152258.30415374492
-131876.6218238843,-157434.7366642609
-139565.22363882966,-155893.41014358777
-148854.3227328353,-155728.78642119098
-149918.91581706377,-155525.4868138102
-155987.48268283322,-154880.3990130228
-147214.9218461878,-156917.24781922804
-151538.7406451502,-156474.053034221
-153353.4075488241,-160438.84828279846
-157911.12430970895,-155255.49904690322
-160867.42206448514,-161389.06941245485
-154665.13840849977,-154831.2640078854
-158903.62679097964,-159035.59967116333
-152147.4915643714,-160683.6840116501
-151585.86808059004,-160642.8368347751
-142449.91672633926,-157124.11171611943
-139127.7228755894,-156889.1078509592
-139766.10406374733,-156815.1590430756
-133413.1104363905,-159517.5944100416
-130843.9418204486,-159895.34004101055
-129678.43534480756,-157585.67817397907
-125804.0636442484,-159170.2751226297
-123098.22424759027,-160424.37536726607
-116931.43059462262,-153785.12895816923
-120473.61510089424,-157785.96398200435
-122912.05534491036,-152771.9075711312
-118749.35575318686,-158047.61151091923
-114890.99724523118,-158410.4125953195
-113834.0226389924,-161131.0832019176
-113324.99656262412,-155790.98670977962
-113937.87490258948,-157237.96724492716
-119964.03040124662,-160917.94861111476
-119849.95132720307,-153073.1641225017
-118313.88988301111,-158160.02759787912
-106261.3872904327,-153306.91708811055
-102298.148203164,-153365.00690778816
-100871.45003531616,-151575.3575049067
-98018.27381691756,-146718.8741516733
-99903.69935403042,-146878.34139458227
-106302.7058875974,-152145.91135330175
-103621.99698816473,-151280.51432672594
-99244.29792439831,-148375.61480450453
-98776.31801774458,-148084.47234029963
-101401.28137772832,-148409.03786669238
-106754.7074441982,-148687.15719139107
-104284.12992311514,-146828.2224762322
-103865.0616457418,-148698.38396730184
-109555.78434550692,-147037.57177557072
-106730.00200942706,-148257.92376922703
-100890.6615629536,-145700.72754625045
-107265.68372165714,-145533.3079697263
-111720.81908091065,-144051.0878237152
-116567.65819834662,-144516.0735868735
-127635.3810920323,-143272.87780225792
-126496.03603754692,-141067.81774609987
-118468.09286968666,-137321.58288924122
-118532.83026863028,-136415.82081869026
-112989.93329472514,-131971.3265044465
