realized_delta_bof_values_1,scr_values
34900.90855458751,-172116.29020716232
32889.44753158954,-174378.60371082442
35621.68513606477,-173880.2003525289
37057.58573021437,-174135.0922047326
43966.04613193241,-176131.00907229655
41029.60361637932,-178305.14993242593
38178.47077696864,-174460.19933999045
40557.97555428359,-174755.14456108192
26322.66840640968,-171111.30437757066
19850.278696999536,-177439.28199892916
16457.792372542666,-179811.3224813026
16075.52597277006,-173457.52153669452
23086.28129194607,-174173.17053609763
15951.358751995838,-176282.6557206582
13679.99488303659,-172078.08246155072
11321.10966259602,-173265.422925979
14154.058673851774,-174263.7454597507
16085.230661647394,-173404.77361048447
17136.547122452524,-169494.89602375135
17993.231346173678,-174014.64737529503
16379.197492867825,-169084.25860572874
14464.18656308297,-169999.59807946067
11720.921067099902,-167079.76737014815
21262.48356736056,-173678.58768436423
26767.09251852985,-168680.86750527847
20895.17915849539,-170238.89764308502
27308.721091206884,-172870.23661857942
31549.545623737387,-169115.93970545015
30084.579226095462,-166595.17768989498
29387.023857625667,-168653.13794505733
19589.695528062643,-171695.98179111717
9621.16100489546,-166687.00914515034
10705.693024776643,-165764.68395834332
2440.3604718637653,-163790.31405130128
4968.730582449352,-166477.0349894191
-2692.9264741161605,-161958.90815188043
-1445.8319116944913,-161738.72957362578
7648.012858015136,-163258.37903339285
14597.525577205466,-162534.29716128562
18259.14526409749,-163789.59706637156
12172.228741179686,-169636.6079891843
11839.381228310987,-167966.8793229275
9566.12325070938,-165120.0920560633
8359.023069699062,-167803.33877026272
6276.810525484616,-167966.93254301528
9052.49127094145,-165956.27400421147
11171.035403868183,-168663.00214216343
8843.630059274845,-161067.99028002593
4127.58556444163,-158656.81115295464
3156.440459917183,-163086.28458591393
6947.449560905341,-167014.69893013028
-989.38134466263,-169997.94520526662
-6392.867331235902,-164967.29426361056
-6866.785949821817,-164339.75841965424
-8677.957479352248,-163203.8801483516
-14103.518138665124,-160980.56960719934
-19002.2434924884,-164539.8564078962
-16216.061930593336,-161959.94645971543
-17626.63445168268,-161006.93634223944
-19917.92265557917,-158012.07856308142
-18519.74161473906,-162425.99825711618
-23838.87636783067,-161898.78416812333
-30612.445428187377,-167277.80704558676
-28713.468981491867,-162104.94674626592
-29885.81077297684,-160033.25296902985
-27965.73629272857,-165119.8248457347
-27334.193905677297,-168597.806287258
-34103.91613794211,-164756.76288959844
-38204.128282503225,-166046.36435084097
-37222.4803050803,-165218.7091701131
-37072.10362111498,-164342.69476260105
-44735.42834729771,-165985.02669552463
-53827.14591946523,-165561.88451595063
-60191.63644228748,-165044.1181105416
-50209.69508117798,-161994.6059694588
-44256.23238018202,-166355.78983427305
-39963.37839425285,-162487.27783310466
-40849.21665787685,-168735.95076582266
-39072.27419865818,-167418.2434074169
-40792.37584881869,-164423.09717244926
-42348.70965676231,-165499.83901848976
-48040.00921813701,-163457.3578301413
-47964.20899384492,-168088.86146740653
-50141.580334491446,-164561.1372908964
-52823.81243927463,-173563.59717429537
-51723.6386552488,-168262.0533255475
-48651.45857181528,-162889.90388018722
-43437.3892569337,-164823.3112193558
-44720.3235430537,-169018.6408100519
-49482.68673517858,-163067.55504020135
-55438.66400326789,-165987.86999151806
-54720.4401745107,-161078.00070469241
-62001.61221691605,-168742.07264972635
-62748.3486929615,-164376.2714317679
-61663.9794260494,-161763.87900355013
-67929.70381498092,-164016.04762702697
-76576.48251220444,-163753.65934380534
-88251.46343712322,-167167.07600187665
-104391.97030761326,-162114.76747149878
-109274.70778986532,-171323.28935528002
-100927.72513165195,-158191.92800582558
-111371.09543116158,-163769.02627468636
-106597.04503287443,-163664.25956399014
-108669.51393977436,-156968.6883920809
-109133.57876224384,-163873.60499021507
-104205.8869376703,-167675.57581982546
-99855.72252366717,-164921.37795100274
-93254.71514088986,-169159.47029549515
-97480.58124164444,-165426.72558847436
-101180.18487990984,-169456.86693595172
-101141.64848105446,-162989.9783565616
-102579.30688809126,-168320.14676421095
-99481.24585570324,-167250.71350917852
-104335.77744178858,-168283.40585192494
-100429.99751076067,-166632.4886261252
-99666.87698499812,-166171.44333745557
-94956.85100506723,-165326.89892481363
-97483.76180107192,-167237.62420050305
-97760.12262778915,-161223.74179334773
-93337.59013649286,-165645.87118096236
-96212.8018970869,-163508.24343481625
-99169.49036408646,-165900.40199138055
-93793.76703548175,-164705.17484663386
-93758.97903813377,-160611.031916741
-94040.71041593316,-167901.18999788567
-93036.39421118854,-167324.17863353452
-91200.89663479535,-173802.57753881084
-86265.22710238572,-163038.2749968718
-86586.69814228278,-162769.5009475917
-85428.78133489285,-171471.61310068687
-82553.90649758978,-170982.5084172784
-81830.34822200215,-168784.02368479042
-84314.69528724335,-166617.29561140534
-84553.44767182297,-169991.69368159588
-84778.33322334872,-165769.03865109864
-90722.699486856,-165168.42099893425
-90542.94316405396,-159090.2067733153
-93062.81078370684,-159703.05503681902
-86748.67570491636,-170604.15427886517
-90143.26300068236,-169227.70323655434
-85945.47330943856,-164644.868881311
-82306.94455116137,-166605.78565685402
-86738.83797022945,-165379.01702754176
-94474.438856457,-167118.82744597708
-91967.5971949302,-166710.09373148865
-94095.38177474332,-165118.2926094496
-94676.87626861793,-165026.58141824027
-91365.18841874412,-161787.46250831196
-100418.15403281932,-167185.31694480064
-104949.14449863462,-166833.65872433106
-105767.45618323982,-170200.08340372753
-108972.99518925068,-167746.3784368198
-116093.24262529577,-160699.17093142553
-115092.9534581406,-164595.38738775867
-113544.97212280416,-170752.78465779944
-115375.81739144029,-166280.72559894106
-113153.30411545234,-164819.28236097048
-113737.16009855806,-169283.25125341796
-112306.23817888716,-165890.124441935
-105425.47166747774,-165633.8126265126
-114038.42022008542,-166098.66031065973
-116550.2816279264,-163538.90551112936
-117390.29840819538,-170488.16583753526
-122597.67389937583,-168162.02044180263
-122675.64215944464,-169579.4138829382
-130225.73438737496,-167717.51734627975
-129008.12373106182,-163484.6846384481
-134260.09258229088,-170353.07253273713
-137405.99997593963,-163219.13100266247
-146058.05466198723,-165611.71424850338
-155057.2293571547,-163028.54274223984
-147500.84088229178,-162860.63876866022
-154186.29888821708,-166803.6908523236
-151215.26680289267,-165568.07859566459
-133971.28614378767,-161485.50388468162
-129110.99745806598,-167006.65918364018
-133917.82318820618,-163635.84301875226
-138916.37570047658,-170008.18050788852
-144433.05925901537,-167959.21357642347
-148204.81640312786,-162396.14894528766
-150732.98654476844,-165900.7217420161
-156707.4099042639,-159580.71392478078
-152051.13202750825,-165211.3166305378
