Window,SCR_Values
598,-170052.03328832200
599,-170048.30741019900
600,-169164.31871205300
601,-169214.75554550900
602,-169239.08140025400
603,-169373.3762746150
604,-169246.48535432600
605,-169172.5636454890
606,-169097.44439600200
607,-171390.0744346500
608,-171160.58902945400
609,-171204.1418270750
610,-170636.52969109600
611,-170683.65724803100
612,-170691.08360676900
613,-170307.9006527220
614,-170348.63735666500
615,-169972.85683461300
616,-170268.7404501200
617,-169915.59718791000
618,-169825.7257447500
619,-169820.263085933
620,-170049.41667254600
621,-170038.71883425600
622,-170105.005041251
623,-170142.64725055100
624,-170115.51505350800
625,-169855.28736184900
626,-172003.77088704600
627,-171999.78010730400
628,-172027.31225820500
629,-171994.1740486510
630,-172103.15443116200
631,-171983.81962236900
632,-171987.21137076500
633,-169702.3895280980
634,-169698.99688456300
635,-169592.43080584200
636,-169632.10481885200
637,-169508.25967089100
638,-169417.64315108500
639,-171581.982147826
640,-171745.70083712100
641,-169599.5188462410
642,-169647.9753372720
643,-169448.85270003500
644,-169433.8741227400
645,-169445.6945671780
646,-169343.8645432090
647,-169436.0145997650
648,-169404.32288982100
649,-169225.1067878220
650,-169187.6948632310
651,-171325.29069287400
652,-169194.71842040000
653,-167445.07379057000
654,-168297.1349265830
655,-168313.30117157500
656,-168225.56409685700
657,-168204.92217206400
658,-168196.51618288700
659,-167271.89532509500
660,-168476.60303533200
661,-168526.63063600200
662,-168533.7495402950
663,-168566.66210625700
664,-166770.55421025600
665,-166723.53603379900
666,-166718.14845266800
667,-166257.16588636600
668,-166279.60902178000
669,-166743.5448111680
670,-166680.8760350030
671,-166666.9608642800
672,-166675.1701563920
673,-164921.96857209400
674,-166737.95905046500
675,-166654.3312789620
676,-166581.6210664510
677,-167566.2703282730
678,-167588.34165839500
679,-167565.76185038300
680,-167653.30338095400
681,-167643.17750202100
682,-167836.0054671430
683,-167865.08466059200
684,-167393.7927666020
685,-167525.70807533200
686,-167490.61916698500
687,-167268.7528023140
688,-167072.7481822010
689,-167079.80664826600
690,-167497.57243899700
691,-167323.5855003350
692,-167264.879329608
693,-167173.1593534420
694,-167209.77991888300
695,-167337.95965323100
696,-167351.91377010400
697,-167378.08512368300
698,-167322.17670277400
699,-167465.86392104600
700,-167700.51634890300
701,-167846.61393988200
702,-167877.0741525220
703,-167909.44016566000
704,-167849.59616983500
705,-168000.22495872200
706,-167854.75416804400
707,-167888.24242887900
708,-167791.83903196700
709,-167657.54472191700
710,-167647.65666707700
711,-167666.9568042410
712,-167753.21885015800
713,-167432.57658236800
714,-167001.98086574900
715,-167508.92380863200
716,-167421.9032265170
717,-167382.43014615600
718,-167340.7889061620
719,-167460.53799111800
720,-167555.88129896000
721,-167600.79888079900
722,-167440.48269700400
723,-167413.86111729300
724,-167362.96793872700
725,-167229.86326909100
726,-167338.94620798300
727,-167258.87678754700
728,-167560.5360549860
729,-167595.75115997800
730,-167551.68240662400
731,-167589.48725891700
732,-167581.08586537000
733,-166070.3414888740
734,-166005.47251005600
735,-166047.0657775630
736,-167265.2391238550
737,-166473.24695548400
738,-166460.21747887800
739,-166395.5106827250
740,-166536.8004349660
741,-166481.50074868900
742,-166284.6666078590
743,-166689.25328724600
744,-166590.82772877300
745,-166506.564491785
746,-166438.7535097390
747,-166336.52156693000
748,-167278.9221722370
749,-167090.06191992400
750,-167231.4804679620
751,-167356.64585367100
752,-167451.25694213700
753,-166868.63867945400
754,-166940.9274232540
755,-166951.63150174300
756,-166929.21607386400
757,-166965.8344639850
758,-167240.08524466000
759,-167377.53921885400
760,-167159.16037255200
761,-166204.4510126210
762,-166414.32151057600
763,-166572.1555027080
764,-167889.42685142900
765,-167962.30314804400
766,-167906.7351400510
767,-167815.04873491200
768,-168027.60443930800
769,-168221.96011801500
770,-168026.49402410100
771,-168558.20041201200
772,-168409.85144116900
773,-168185.31972893600
774,-168309.88052240100
775,-167600.6796173880
776,-167679.6503356670
777,-168431.77717291900
778,-168720.77014621900
779,-168696.52072790200
780,-168720.0796887420
781,-168739.35940092900
782,-168663.96915830500
783,-165965.10607834800
784,-165616.9179051790
785,-165333.9010103240
786,-165387.90717255600
787,-165644.72722816500
788,-166398.4317161950
789,-166574.51359925000
790,-166461.45248356900
791,-166481.90897000500
792,-166411.93789629000
793,-166779.7006732850
794,-166797.1698088420
795,-166916.80673215500
796,-167031.7347428840
797,-167139.30061074200
798,-166884.65744663700
799,-166297.16691125700
800,-166679.40409652600
801,-165928.9786711490
802,-166074.4905996850
803,-166521.32402248600
804,-166552.31676072600
805,-166886.43212814200
806,-167639.18866338000
807,-168877.56217927200
808,-168769.015747139
809,-169205.2143932090
810,-168795.40457668100
811,-168803.77832961800
812,-168764.3685072380
813,-168472.4683311360
814,-168747.31451545800
815,-168783.39421530800
816,-168863.0579618330
817,-169176.60611516300
818,-169199.97265757000
819,-169355.59358054000
820,-169023.39729493100
821,-168328.29952896000
822,-168383.57651141300
823,-168387.77908684200
824,-168390.39158511900
825,-168288.7455425960
826,-168865.11421237000
827,-168933.13375271800
828,-169039.4676735890
829,-169111.35027375400
830,-169057.71802113200
831,-169037.04000506300
832,-168976.75220681900
833,-169084.5125112570
834,-168938.04283455400
835,-168936.83319630700
836,-169706.75093818300
837,-170424.31905342700
838,-170074.66987510800
839,-169771.20367333500
840,-170082.00469062000
841,-169806.22014468900
842,-170579.56243328400
843,-170452.5031433140
844,-170199.95559693300
845,-170272.2584125850
846,-171054.6601862230
847,-172799.6341672280
848,-173364.2201605390
849,-173163.80518902200
850,-173078.04131342600
851,-173022.96885826700
852,-171851.593149043
853,-170865.2627341590
854,-170920.6235550430
855,-171037.948163005
856,-171272.65815466200
857,-171247.7573442330
858,-171292.99864479400
859,-171553.36316365300
860,-171784.35791446500
861,-171173.0275372280
862,-170741.33961364500
863,-170837.84596535100
864,-171161.47915484800
865,-171368.80770873700
866,-171514.6249822400
867,-171734.4025397550
868,-171880.82343691800
869,-171732.7141305660
870,-172050.9590404410
871,-172488.46830094800
872,-170507.79585606200
873,-171844.96028344200
874,-172638.50187883600
875,-172588.2436141020
876,-173021.89890821900
877,-172647.45675366000
878,-172797.07522033100
879,-172995.1811641880
880,-172409.87872032100
881,-171894.83509612000
882,-171977.1554671110
883,-171967.35074299400
884,-172410.56371688600
885,-171078.22279614700
886,-172311.52137808200
887,-172201.54365174400
888,-172281.06736243300
889,-172919.19401593300
890,-173055.9979780780
891,-173040.95653846200
892,-173377.91825343600
893,-172632.27466981500
894,-172215.24495762800
895,-172688.8173135840
896,-172530.85088685900
897,-172115.7983781900
898,-172145.3747038450
899,-173044.5401886590
900,-172911.78754042700
901,-172330.05513797800
902,-171798.289084249
903,-171787.96497347400
904,-171579.93479320800
905,-172411.38991107300
906,-172334.6721879740
907,-172547.9365206680
908,-172528.94385597600
909,-172460.30642649000
910,-172676.96128264900
911,-172575.13372300600
912,-172509.0442002690
913,-171971.22416803900
914,-171010.8259711790
915,-171667.1780520700
916,-171535.29988255600
917,-171774.53833515200
918,-172572.0178422800
919,-172362.31776438300
920,-172505.00728945600
921,-171793.9481162070
922,-172483.85751957700
923,-172957.13529943100
924,-173212.73465136500
925,-173399.8000433420
926,-173751.67617792500
927,-174221.97928688700
928,-174053.9308135830
929,-174098.16583775700
930,-177037.10104764300
931,-177071.992275845
932,-176906.22997582500
933,-176742.2358213580
934,-175889.72214081000
935,-175877.60746500400
936,-175898.5436969880
937,-176112.14839360900
938,-176412.70197168400
939,-176399.52179415800
940,-176759.75664567900
941,-176710.82986535600
942,-178223.41505643500
943,-177471.42102278700
944,-180424.70396305300
945,-180809.5056910810
946,-180116.3082901000
947,-183002.6242343660
948,-184203.34171406000
949,-185007.6763478380
950,-181221.5587682830
951,-179521.12330434700
952,-179657.44412319000
953,-181708.8492498730
954,-181989.17450740700
955,-184013.5616612140
956,-184641.6891479990
957,-184123.02108010900
958,-184353.95595322000
959,-184284.370670809
960,-184196.2705108300
961,-184586.27816419100
962,-184738.75674316700
963,-184773.1567552130
964,-183185.53662341500
965,-184173.2243972480
966,-184068.00109207800
