Realized_Delta_BOF,SCR_Values
73175.66143475470,-162278.29955010200
74853.26443684740,-162273.6584838060
77284.42695963160,-161972.03701119600
74011.43589707230,-161959.28611182300
70155.32643547260,-162043.25030406000
73049.54094050420,-162222.91628824500
75531.6644556839,-162235.6395242800
68200.34001552410,-162075.3027867680
68888.74896332230,-162055.43083031700
65745.92743253070,-161965.54757301
61260.164792341100,-161881.74513673800
65523.16022072950,-161456.79041782300
66067.0444480083,-161581.74005193000
68004.27589465950,-161521.4319534740
73851.02128940580,-161596.50905900100
73162.66872466360,-161564.9830364760
72956.32543224160,-161572.97826066000
68280.88615008600,-161285.73792322300
72922.79278242660,-161413.2116007390
73361.29128768570,-161696.78061400400
71833.20853302780,-161591.85366021600
66722.21374155650,-161438.52257171400
66581.87693869610,-161376.29125980400
65910.84698771170,-161281.74002538500
64002.885857667100,-161207.2945549700
66361.63345741180,-161279.08802935200
61578.68101327260,-161218.6033577740
64286.62068872970,-161286.2694945400
63473.50162173660,-161318.26248003300
60993.42291144080,-161402.0074209390
56156.19222408890,-161272.9816041330
50449.840628862300,-161185.37180386300
50891.967954826800,-161195.46539412800
54308.04787335940,-160762.61501208800
52111.719813705300,-161216.89203168000
49464.50230443110,-161175.45688328600
48142.94472969570,-161256.72565091200
48039.2934479214,-161274.72417295400
42045.61293191790,-161205.49360517000
38279.28652686590,-161086.8786774020
42239.53240205000,-161331.735254021
39906.029907826900,-161388.3808697690
34900.90855458750,-161364.27635962300
32889.44753158950,-161345.2862834460
35621.68513606480,-161348.20033093900
37057.58573021440,-161466.18796697600
43966.04613193240,-161746.30875446800
41029.60361637930,-161618.8800821470
38178.470776968600,-161541.29323623400
40557.97555428360,-162509.31880870300
26322.668406409700,-162458.31871196100
19850.278696999500,-162483.98563000400
16457.792372542700,-162334.6151399630
16075.525972770100,-162353.98927753300
23086.28129194610,-162430.66146596100
15951.358751995800,-162498.90040743500
13679.99488303660,-162628.48662409600
11321.10966259600,-162577.98930587100
14154.058673851800,-162726.1359397850
16085.230661647400,-162851.13320972300
17136.547122452500,-163077.37636033700
17993.231346173700,-163638.80503485900
16379.197492867800,-164100.0969658910
14464.18656308300,-164226.14528018600
11720.921067099900,-164274.1186298790
21262.483567360600,-163662.36543516
26767.092518529900,-163470.98360365600
20895.17915849540,-162995.89654660300
27308.721091206900,-163257.06040104100
31549.545623737400,-163495.37083241500
30084.579226095500,-163586.41318106200
29387.023857625700,-162846.3713002540
19589.695528062600,-162939.5745515180
9621.16100489546,-162805.42131014600
10705.693024776600,-162756.46292968100
2440.3604718637700,-162666.40810110800
4968.730582449350,-162881.7471807030
-2692.9264741161600,-162865.57446857500
-1445.8319116944900,-164835.73692396800
7648.012858015140,-164644.11893561400
14597.525577205500,-164831.719588066
18259.14526409750,-164755.85897678600
12172.228741179700,-164789.86451253500
11839.381228311000,-164699.95546630100
9566.123250709380,-163278.90085582500
8359.023069699060,-163220.055304053
6276.810525484620,-163179.25104957900
9052.49127094145,-163293.8677209670
11171.035403868200,-163294.73952490100
8843.630059274850,-163253.3566435520
4127.58556444163,-162900.09277023400
3156.440459917180,-162852.1751448970
6947.449560905340,-162690.2709408990
-989.38134466263,-162683.2774782820
-6392.867331235900,-162761.5854788750
-6866.785949821820,-162808.7296323440
-8677.957479352250,-162782.43533940000
-14103.518138665100,-162863.64030553700
-19002.2434924884,-162740.55436531200
-16216.061930593300,-162796.45348695700
-17626.63445168270,-162881.89789783300
-19917.92265557920,-162822.3824436680
-18519.74161473910,-163001.3661373080
-23838.87636783070,-162980.89303581800
-30612.445428187400,-163026.60569389900
-28713.468981491900,-163371.96727027600
-29885.810772976800,-163446.40240628100
-27965.736292728600,-163171.52328027900
-27334.193905677300,-163282.52189767000
-34103.91613794210,-163335.74503566400
-38204.128282503200,-163284.81046494800
-37222.4803050803,-163550.40691942000
-37072.10362111500,-163128.02990429100
-44735.42834729770,-163107.08078306400
-53827.14591946520,-163127.36166445900
-60191.636442287500,-163190.03872551000
-50209.69508117800,-163518.09075881900
-44256.23238018200,-163835.14445256700
-39963.37839425290,-163830.8167955080
-40849.21665787690,-163733.12054253800
-39072.27419865820,-163787.49368686300
-40792.37584881870,-163812.69013808100
-42348.70965676230,-163934.8345025680
-48040.00921813700,-163821.1530849850
-47964.20899384490,-163766.2523011990
-50141.580334491400,-163685.69368257000
-52823.812439274600,-167839.69473170200
-51723.6386552488,-170072.94991798600
-48651.45857181530,-170602.2969991300
-43437.389256933700,-170544.60931325200
-44720.3235430537,-164943.32060432600
-49482.68673517860,-164929.8770037790
-55438.664003267900,-164399.48487544600
-54720.4401745107,-164590.4043439300
-62001.61221691610,-163001.44285824700
-62748.3486929615,-164457.30017466600
-61663.979426049400,-162933.49821178500
-67929.70381498090,-162847.62456717000
-76576.48251220440,-162833.92414460100
-88251.46343712320,-164231.12440274500
-104391.97030761300,-164285.48201658700
-109274.70778986500,-164366.5883672210
-100927.72513165200,-164402.8391334230
-111371.09543116200,-164310.73241514900
-106597.04503287400,-163380.96800653600
-108669.51393977400,-164381.98841771700
-109133.57876224400,-164320.34715746200
-104205.8869376700,-164384.23399481300
-99855.72252366720,-164319.71157288600
-93254.71514088990,-164455.75277960900
-97480.58124164450,-164898.85889582300
-101180.18487991000,-164888.48593837700
-101141.64848105400,-164705.94887379100
-102579.30688809100,-164668.43226720400
-99481.24585570330,-164505.85293270100
-104335.77744178900,-164521.62051513000
-100429.99751076100,-164388.37483269600
-99666.87698499810,-164266.69138037800
-94956.85100506720,-164445.45166176800
-97483.76180107190,-167890.70360606100
-97760.12262778920,-167956.12515672000
-93337.59013649290,-167991.1883910360
-96212.8018970869,-167902.99075344000
-99169.49036408650,-164598.18968785400
-93793.76703548180,-164594.29218895100
-93758.97903813380,-163388.64478173100
-94040.71041593320,-163692.05828277200
-93036.39421118850,-164307.20306016300
-91200.89663479540,-163417.1753085420
-86265.22710238570,-163341.9117817490
-86586.69814228280,-163978.09072626100
-85428.78133489290,-163986.58951712600
-82553.90649758980,-161470.6274049600
-81830.34822200220,-161474.5972038370
