realized_delta_bof,scr_values
165634.94541604316,-95829.45803436893
151843.53396234429,-106353.01233956276
150530.40421557042,-111472.74667666364
145199.11072291026,-105757.37426762166
132023.43216888397,-114773.41593298363
124692.65003410971,-98919.14864421578
131066.2927926596,-103665.75426360045
127516.86414236762,-113673.23138750391
125148.48984305572,-113163.20330874191
130420.28933654865,-103555.43202567834
138673.9746595138,-121173.69198111829
134166.43151631893,-115486.38642258523
130315.60553665587,-109495.07701637875
127661.15952360316,-115842.73927332973
122915.51547580957,-120919.15559958783
120784.89974353602,-115986.80016903824
112406.14781779365,-112055.60321233165
112672.38023228012,-120007.82250695187
122372.87500609679,-120202.44386963348
116363.5411065754,-123127.02582084073
122662.7865778259,-129722.19020838465
115828.10840357176,-131902.2423870226
114072.71617998695,-113574.99862643983
116409.76636089245,-111793.06573198433
120588.64465272299,-118143.64506786177
123227.68738594535,-116507.02855695284
117867.95064494829,-128122.3564255021
112862.89675614354,-122747.09194159415
105112.75576736266,-113501.9037099029
108391.96230354451,-111404.78291945439
103301.31683375139,-114617.68230136542
102333.04024015635,-112878.23897413455
97771.34199377242,-105546.61205459607
99566.78814172081,-127522.23329683254
98166.60445437848,-124266.48055251595
96127.53455365985,-123226.8645318962
95506.6135928121,-108030.93193567451
98664.10351563548,-125069.87434037426
96829.14814402442,-125556.11268806027
93786.77402236918,-119313.94837779063
88845.88555533334,-119878.91111977061
92749.86722136161,-110780.73097301507
85810.58713313204,-125758.60037492914
80984.20058773749,-118474.55673222302
88961.56993780634,-124745.6857692647
90188.2062616736,-111162.82704776467
104815.15794796031,-124405.14166000439
101684.09936781076,-108136.95033287583
102197.96383949381,-122617.00934847863
95867.86087356484,-115019.23196966795
94531.31452664884,-119885.90961827151
92499.20137895644,-115920.51459059468
91863.35061195912,-114590.02705451974
93876.17125510157,-112660.8619417022
93877.23984106083,-126006.66286624107
99814.38719357969,-122532.39480265533
98780.01403594145,-118948.7643884744
100262.13818056416,-112869.7266918408
102015.67173369764,-116187.34879235446
96608.12303718494,-110354.57932793046
98669.90349510661,-118557.52205180086
92834.82455845166,-113812.78843768314
95126.42916455213,-116077.87747746089
91917.54941876454,-130269.41295112798
97984.76154061593,-135578.14371358103
97309.98055930529,-118363.72724870488
100667.87318291108,-126135.05649558862
101710.36642795708,-124185.04750846955
101186.20804790943,-121251.15236443002
100829.85534378688,-136409.38840268506
100816.57591149933,-121238.3514008472
100640.57641157636,-131309.1070808255
100970.00980413926,-131315.50363748684
96053.92709443823,-135537.24824837502
94383.74209626962,-126569.82669891429
90811.19469159667,-133508.11214834743
96364.35285592638,-139966.8215910968
102102.85627144948,-139729.68337982113
105775.83405554609,-139190.86303080502
106449.27002900129,-139152.66955758398
104002.8858182457,-148928.79958637292
105007.65972172539,-141098.1632330229
105811.92542949959,-146813.41018861823
102994.20639661548,-135839.87604058208
98794.64939478447,-141182.55237624317
101842.16047444078,-144942.1379657362
101104.07703338005,-148815.950166438
101050.60691785126,-135400.9988243837
102075.02856601018,-151996.92528387823
102864.4202450352,-141367.725455072
100916.64968503523,-151967.51682912535
104958.97074172995,-148596.09054587397
106194.42446288862,-136027.22003799537
105704.87124036124,-147870.57678506535
108361.09604052431,-147565.6106061733
109166.17817279941,-142119.2864310426
104575.84612526721,-153258.1312738459
102476.4826920348,-132494.80658841657
99646.72031988786,-144227.57712333242
104899.65427373955,-143836.44031586032
102047.4516551249,-141472.27845890587
103694.39586545026,-157440.23395518132
100928.61604766943,-139482.7392868041
101109.90741230058,-145283.75619007263
101618.85243102047,-138018.44638473354
94759.02587275079,-139966.77344539505
96419.48255616624,-138223.29822533485
103374.20889662893,-139959.70420815411
101088.98802224582,-141631.80811300292
103624.58283571468,-143860.8122475911
102265.0018817354,-137784.45015699242
96515.71264529426,-144936.7289149497
93351.85229000857,-137136.2267652601
94186.32306340791,-148830.16752517514
91573.62445534777,-146669.11508686817
97204.82069644437,-158840.82592432725
100649.96110968222,-145040.74228423717
97809.41206167266,-147834.29414417956
102464.60979939229,-155373.45288133563
100469.64997877623,-149980.43201648968
94723.49031962804,-144009.16663519724
91252.22023390455,-150080.7828202058
95085.77623649687,-147406.53564602102
93875.00360180018,-147950.38757957844
88945.43669321248,-136973.81312777463
89496.6561155488,-137205.34031721193
79065.20667461294,-146151.07805367524
80267.22144734708,-142416.6022723863
76623.09952391498,-139935.49638396583
76020.4689134442,-141816.0104514158
70677.43956851505,-155490.77083130286
67601.38907782605,-144970.13885111886
66193.45757147693,-149385.55799653102
69625.86607340968,-148447.36673947168
68338.10361317534,-143602.23368727497
67608.76251102483,-145451.02801699052
70628.69017874158,-148267.4020218621
75080.67057830922,-151377.43765634275
84065.7976592494,-149003.0140529113
86081.59911590687,-149633.40331734065
84252.87180152396,-144588.73788086616
87453.55931554188,-157266.35733874887
88129.24806262844,-138678.52156600915
96732.53326617659,-143997.49051475036
94189.79092672036,-146519.97395661473
98011.68527582916,-159645.72940989467
95509.20463375223,-145613.43994255876
94465.18924200418,-141067.90592218156
83388.19316130783,-141669.73556879454
77153.98557665164,-141205.45417816297
78383.18427748838,-137323.9797385832
78775.64830566396,-131880.281623511
78945.96235956566,-139545.30108226405
79543.44132806931,-144520.35138212598
84335.90653137176,-145240.07296896458
80590.882471891,-149452.34515162872
78663.52250505704,-154956.17753897805
73791.92247596313,-146763.94748164958
74089.92933010019,-157991.8981054885
75175.8802350302,-143643.8533851182
75244.94923461578,-147566.50508121867
76299.95880664629,-134737.7028902924
73175.66143475473,-146598.6393941642
74853.26443684741,-138322.502996688
77284.42695963162,-151052.96972260159
74011.43589707231,-143661.7667600239
70155.32643547258,-137057.93305401644
73049.54094050417,-158875.93072369043
75531.6644556839,-160696.9417800589
68200.34001552407,-169302.16096220864
68888.74896332226,-170621.9568328485
65745.92743253068,-172208.4334068665
61260.164792341064,-160029.09475581883
65523.16022072954,-165262.5039681621
66067.0444480083,-162707.95867388207
68004.27589465945,-168996.66778583545
73851.02128940576,-160780.30100075447
73162.66872466356,-166501.31558682548
72956.32543224155,-167314.82915595837
68280.88615008595,-164527.61362421315
72922.79278242658,-172586.8446969838
73361.29128768574,-175932.98469918256
71833.20853302779,-165067.22188339988
66722.21374155651,-161635.5448248497
66581.87693869614,-187014.7308773062
65910.84698771173,-185737.35127968283
64002.885857667075,-179468.83533035673
66361.63345741178,-183304.3297146036
61578.68101327261,-177827.69582163251
64286.62068872969,-180478.74272497825
63473.50162173656,-167709.14852838241
60993.42291144084,-174156.06121774635
56156.19222408894,-168624.67089075607
50449.840628862265,-160061.9247461845
50891.967954826774,-171988.57680818345
54308.04787335941,-171708.28949612146
52111.719813705306,-180554.8416520817
49464.50230443105,-175250.277507797
48142.94472969568,-174691.22154141578
48039.2934479214,-171039.09654888778
42045.61293191789,-184175.3196475918
38279.28652686591,-175770.52020015125
42239.53240204998,-174870.86926590325
39906.029907826916,-180075.486247823
34900.90855458751,-172316.5684073997
32889.44753158954,-183423.18062671192
35621.68513606477,-168979.25935410638
37057.58573021437,-176684.20123241725
